question_id,industry_type,question_text,topic_category,option_type,difficulty_level,report_section,learning_objective,question_note,option_A,option_A_note,option_B,option_B_note,option_C,option_C_note,option_D,option_D_note,option_E,option_E_note,follow_up,allow_custom_answer,allow_skip,free_answer_note,report_topic,learning_goal,answer_tags,,
C000,飯店業,什麼是溫室氣體？,ESG 教學導入,multi_learning,teaching,ESG 教學導入,認識溫室氣體種類與飯店日常的關聯性,飯店在日常營運中會排放各種溫室氣體，包括電力使用、空調冷媒、洗滌與廚餘處理。溫室氣體不只包括二氧化碳，還有甲烷、氧化亞氮與冷媒等。理解這些氣體來源與影響，是開始碳盤查與 ESG 的第一步。,CO₂,二氧化碳，最常見，來自電力與瓦斯燃燒,CH₄,甲烷，來自廚餘或有機廢棄物的處理與分解,N₂O,氧化亞氮，可能來自高溫設備或布草烘乾、洗滌過程,HFCs,氫氟碳化物，常見於飯店空調與冷凍設備使用的冷媒中,SF₆,六氟化硫，雖少見但可能存在於特殊電力設施與維運設備中,哪些來自洗衣房？哪些來自空調與照明？,FALSE,TRUE,看完說明即可繼續,ESG 認知導入,建立用戶對常見溫室氣體種類與來源的基礎理解,"ESG基礎, 飯店排放, 教學題",,
C001,飯店業,飯店的碳排放來自哪些地方？,排放源辨識與確認,multiple,beginner,排放源分類診斷,能辨識企業內部與外部主要碳排放來源,飯店的碳排放主要來自能源使用（電力、熱水）、房務管理（清潔、洗滌）、供應鏈（食材、備品）與廢棄物處理。了解這些來源，有助於找出減碳的方法，降低營運成本，並符合永續發展趨勢。,房間與公共區域用電,空調、燈光、電器 是飯店碳排放的主要來源之一。,熱水與洗滌,洗衣房與浴室用熱水 需要大量能源，可能透過燃氣或電加熱。,供應鏈與備品使用,一次性備品（牙刷、拖鞋）、食材與家具 都會產生碳排放。,廢棄物管理,食物浪費、塑膠包裝、一次性用品 是飯店廢棄物的主要來源。,旅客行為與使用習慣,旅客是否長時間開冷氣、每天更換備品等行為也會影響碳排放總量,哪些來源能靠管理方式改善？,FALSE,TRUE,看完說明即可繼續,碳排放來源辨識,能初步理解營運活動與碳排放的對應關係,"排放源, 飯店營運, 初階診斷",,
C002,飯店業,什麼是碳足跡？,排放源辨識與確認,multiple,beginner,排放熱點分析,理解碳足跡概念，並能識別企業流程中高碳區塊,碳足跡是指飯店在營運過程中產生的總碳排放量。碳足跡可透過記錄用電、食材採購、房間設備運作、廢棄物產生等數據來計算，幫助飯店找到減碳的方法。,房務與客房管理,房間清潔、毛巾更換、備品消耗 會影響碳排放。,能源使用,照明、電梯、冷氣、熱水供應 會影響飯店的總碳排放量。,供應鏈與餐飲,餐廳食材採購、物流運輸 是影響飯店碳足跡的重要因素。,建築與設備維護,暖通空調系統（HVAC）、保養設備的耗能 會影響飯店的碳足跡。,顧客使用階段,飯店提供的服務如何被使用，例如自助洗衣、早餐選擇，也會影響碳足跡,飯店碳足跡能應用在哪些溝通或管理策略？,FALSE,TRUE,看完說明即可繼續,碳足跡基礎概念,建立從產品與服務視角理解碳排放的能力,"碳足跡, 營運熱點, 飯店活動",,
C003,飯店業,為什麼飯店需要進行碳盤查？,報告需求與後續行動,multiple,beginner,碳盤查動機與導入評估,釐清企業盤查動機，作為診斷起點依據,碳盤查幫助飯店找出高碳排的地方，減少能源浪費，降低營運成本，並提升品牌形象。隨著政府法規趨嚴，提早管理碳排放能避免未來罰款或額外成本。,降低營運成本,提升能源效率、減少浪費 能降低電費與水費，提升利潤。,法規合規,政府可能要求大型飯店申報碳排放，並逐步推動碳費政策。,提升市場競爭力,越來越多旅客關注綠色飯店，ESG 表現好的飯店更受歡迎。,增加國際合作機會,國際連鎖品牌、政府採購案更偏好低碳永續飯店。,建立碳管理制度,建立內部盤查流程與責任制度，有助持續追蹤與整合減碳成果,哪些部門可以參與碳盤查與 ESG 推動？,FALSE,TRUE,看完說明即可繼續,ESG 行動動機辨識,建立企業導入碳管理的誘因理解能力,"飯店法規, ESG動機, 節能節費",,
C004,飯店業,飯店的碳盤查數據從哪裡來？,數據收集方式與能力,multiple,beginner,活動數據基礎盤點,檢視企業現階段掌握的數據類型與完整度,碳盤查的數據來自日常營運的記錄，例如電費、瓦斯費、房務記錄、備品消耗量與廢棄物管理。這些數據能幫助飯店計算碳排放，找出最適合的減碳方式。,電費與瓦斯帳單,飯店冷氣、熱水、廚房設備的用電與燃氣消耗 是碳排放的主要來源。,進貨與供應鏈數據,飯店內部採購的食材、備品、家具、清潔用品 都影響碳足跡。,房務與清潔數據,床單、毛巾更換頻率、清潔劑使用量 會影響碳排放。,廢棄物與回收管理,廚餘、一次性備品、客房垃圾的總量 會影響碳盤查結果。,設備與營運記錄系統,使用能源監控系統、清潔記錄表等工具，有助自動化與提高數據準確性,目前你們能取得哪些類型的碳盤查數據？,FALSE,TRUE,看完說明即可繼續,數據來源與記錄盤點,提升企業盤查資料管理與組織能力,"數據收集, 檢核來源, 飯店記帳",,
B001,飯店業,飯店規模如何？（員工數、分店數）,邊界設定與組織資訊,single,beginner,組織現況分析,理解公司組織結構與規模對盤查邊界的影響,飯店規模影響碳盤查範圍與管理方式。小型飯店通常僅需記錄單一館別的能源使用、客房數與廢棄物，而連鎖飯店則需整合多間飯店的數據，甚至納入中央採購、會議中心等。規模越大，碳盤查的範疇與計算複雜度越高，可能需要 ESG 團隊或外部顧問協助管理。,1-10人,適用於小型飯店，通常碳排放盤查範圍較小，僅限於單館管理。,11-50人,中小型飯店，可能需追蹤能源使用與供應鏈管理。,51-200人,可能涵蓋不同部門，如餐飲、洗滌、會議設施等，數據需更完整。,201-500人,大型飯店，碳盤查範圍擴及中央採購與物流供應鏈。,501人以上,適用於國際連鎖飯店，需整合多館數據並符合國際 ESG 標準。,"員工數是否包含兼職？, 分店間是否統一管理能源？",TRUE,TRUE,可填寫最近一季的平均資料,組織規模與盤查邊界,釐清碳盤查規劃時需考量的基本組織範圍,"員工數, 分店數, 組織邊界",,
B002,飯店業,飯店的碳盤查範圍包含哪些部分？,邊界設定與組織資訊,multiple,beginner,邊界與盤查範圍,能掌握企業在碳盤查時已納入的營運範疇,飯店的碳盤查範圍決定了數據的完整性。例如，若僅盤查客房能耗，將忽略會議中心、餐飲部門、泳池設施的碳排放。建議納入備品、食材供應鏈、洗滌與清潔耗材等，以獲得更全面的碳足跡分析。,單一館別,只針對單一飯店進行盤查，數據較簡單但可能不夠完整。,主要營運據點,盤查涵蓋飯店主要設施，如客房、公共區域與餐廳。,客房與公共設施,包含房務、冷氣、泳池、健身房等用電設備的盤查。,供應鏈（食材、備品、清潔用品）,盤查供應鏈碳排放，例如食材採購、備品製造與運輸影響。,會議中心與宴會廳,針對大型飯店，需額外計算活動與餐飲產生的碳排放。,"是否包含外包人力與設施？, 是否涵蓋共用空間與委外業務？",FALSE,TRUE,如無明確資料可略過,盤查邊界與活動涵蓋,建立對碳盤查範疇與涵蓋內容的基本認知,"範疇一, 範疇二, 盤查範圍",,
B003,飯店業,飯店是否與其他企業有關聯？（如連鎖、加盟、管理公司）,邊界設定與組織資訊,multiple,intermediate,邊界與合作關係界定,能辨識企業合作模式並思考其對碳盤查邊界的影響,飯店若屬於國際連鎖品牌，需與總部協調碳排放盤查範圍，確保符合全球 ESG 承諾。部分飯店與供應商或管理公司合作（如清潔服務、外包洗滌），這些業務模式將影響碳足跡計算的完整性。,無特別關聯,獨立經營飯店，碳盤查範圍相對單純。,連鎖或品牌加盟,需符合品牌 ESG 要求，可能需提交碳排放報告。,由管理公司營運,由第三方管理，可能影響碳排放數據的收集方式。,供應鏈合作夥伴,若與外包清潔、洗滌、物流等合作，需計算範疇三碳排放。,不知道/不確定,可能需進一步確認飯店的營運架構，確定碳盤查責任。,"是否由母公司主導 ESG 策略？, 是否共享資源與報告機制？",FALSE,TRUE,如與其他企業共用資源請說明,組織架構與決策連動,辨識外部治理結構對碳盤查策略的影響,"企業關係, 連鎖經營, ESG治理",,
B004,飯店業,有專門負責環保或永續管理的人員嗎？,邊界設定與組織資訊,single,beginner,永續推動角色與資源,確認企業是否具備基本的永續推動人力與責任配置,飯店業的碳盤查通常由工程部、管理層或環保團隊負責。若無專職人員，建議由能源管理或 ESG 小組負責收集數據，如電力使用、冷媒管理、廢棄物處理等，或尋求外部顧問協助，以確保計算的精準度與合規性。,沒有專職人員,碳盤查可能較不完整，需由不同部門兼職執行。,由工程部或營運團隊兼職,可能記錄設備用電與水資源，但數據可能不夠詳細。,有專職 ESG 團隊,設立專門團隊監測碳排放，提高管理效率。,外部顧問協助,透過專業顧問確保計算準確性，並符合國際標準。,不知道/不確定,需確認是否有負責 ESG 或能源管理的專員。,"負責人是否具備永續相關專業？, 是否同時負責其他部門？",TRUE,TRUE,如無專責人員可填「無」,組織人力配置,瞭解是否有內部資源協助推動碳管理與永續行動,"永續專責, 環境人力, 內部推動",,
B005,飯店業,飯店是否已訂定減排政策？,邊界設定與組織資訊,single,intermediate,減碳政策制定現況,檢視企業是否具備明確政策與實質減碳規劃,減排政策可包含使用節能冷氣、安裝智慧照明系統、減少備品更換頻率、優化水資源管理等。例如，國際飯店品牌如 IHG、Marriott 已承諾逐步降低碳足跡，並採用再生能源。ISO 14064 提供碳管理標準，使企業能夠追蹤並報告減碳成果。,沒有,尚未訂定減排行動計畫，可能影響未來法規合規性。,初步擬定目標,已有初步方向，如減少能源浪費或增加綠電使用。,有減排政策但未落實,具備減碳策略但執行進度有限，需進一步監測與改善。,已制定具體政策（如 ISO 14064）,已落實減排計畫，並使用國際標準進行數據追蹤。,不知道/不確定,可先檢視飯店是否有 ESG 相關報告或減碳承諾。,"是否已納入年度目標？, 是否公告於內部或官網？",FALSE,TRUE,若尚未訂定可先略過,減碳政策與目標設定,判斷是否已建立具體減排政策，作為後續推動依據,"減碳承諾, 政策制定, ESG目標",,
B006,飯店業,飯店是否設定減排目標與時間表？,邊界設定與組織資訊,single,intermediate,減排目標與時間進程,能理解企業是否具備可量化與可追蹤的減排目標,設定減排目標有助於監測並改善能源與水資源管理。例如，企業可設定 5 年內減少 20% 用水、減少 15% 燃氣消耗，或 2025 年前全面改用 LED 照明。明確的目標可幫助管理團隊規劃有效的策略，提升品牌形象。,沒有設定,目前未訂定任何減排計畫，可能錯失市場趨勢與法規要求。,有初步方向但未明確,已有減碳構想，但尚未確定執行方式與時程。,設定減排目標但無時間表,計畫降低碳排，但尚未制定具體的執行時程與評估機制。,已設定明確目標（如 2030 年減少 20%）,設有具體數據與時程，確保減排行動落實。,不知道/不確定,可從能源帳單與耗能設備記錄開始，評估可能的減碳空間。 ,"是否為自訂目標還是依循政府或集團指引？, 是否設定具體數值與截止時間？",FALSE,TRUE,可填寫目前草案或規劃方向,減碳政策與目標設定,確認企業是否設定明確減碳方向，並能對應未來要求,"減碳目標, 時程規劃, ESG承諾",,
B007,飯店業,飯店是否需要向外部提供碳排放報告？,邊界設定與組織資訊,single,intermediate,報告義務與合規揭露,判斷企業是否涉及外部揭露義務，並準備報告制度,部分飯店業者須向 ESG 評鑑機構、投資者、政府提交碳排放報告。例如，國際連鎖飯店可能需向品牌總部提交環境報告，或因應當地法規要求定期盤查碳排放。若飯店承接政府會議、企業 MICE 活動，可能需提供碳足跡報告，以符合客戶的永續要求。,不需要,ESG 目標僅限於內部使用，無需向外部提交數據。,內部報告,主要用於企業內部決策，如能源管理與減排行動規劃。,依客戶或投資者要求提供,企業可能須提交 ESG 報告給合作夥伴或投資者，以提升競爭力。,依法規要求定期報告,若政府或業界法規要求（如 ISO 14064），飯店需定期提交報告。,不知道/不確定,可先確認合作夥伴、政府法規是否有相關要求，避免未來合規風險。,"提交對象有哪些？, 是定期回報還是一次性報告？",FALSE,TRUE,可註明供應鏈、集團或主管機關等,碳揭露與外部傳達,了解企業是否有對外溝通碳排資訊的經驗與壓力,"外部揭露, ESG回報, 供應鏈要求",,
B008,飯店業,飯店業在碳盤查上的主要挑戰是什麼？,邊界設定與組織資訊,multiple,intermediate,碳盤查挑戰診斷,協助企業盤點內部最難以掌握或處理的盤查障礙,飯店的碳排放主要來自於客房能源消耗、空調與冷氣排放、供應鏈（備品與餐飲）、會議中心與宴會活動、以及廢棄物管理。確定挑戰點可幫助飯店制定更有效的減排策略。,客房能源消耗,房間內的冷氣、燈光、電視等設備長時間運作，影響能源使用。,空調與冷氣排放,冷媒使用與空調能效影響碳排放，部分飯店改用環保冷媒減排。,供應鏈（備品與餐飲）,飯店採購的備品與餐飲食材生產過程，對碳排放影響大。,會議中心與宴會活動,大型活動用電需求高，影響碳排放數據，建議採用節能設備。,廢棄物管理,一次性備品與餐飲浪費會增加碳足跡，應採取回收與減廢計畫。 ,"是否缺乏人力、工具還是數據來源？, 哪個階段最困難？",TRUE,TRUE,可自由說明實務遇到的挑戰,實務挑戰與改善障礙,釐清企業目前推動碳盤查時的阻力與盲點,"挑戰辨識, 盤查困難, 數據不足",,
B009,飯店業,飯店過去是否有碳盤查或永續訓練？,邊界設定與組織資訊,single,beginner,永續經驗與前期基礎,評估企業是否具備碳盤查與永續管理的基礎歷程,飯店若無碳盤查經驗，可從基礎數據（如能源使用、備品消耗、廢棄物處理）開始，逐步導入完整 ESG 盤查架構。例如，萬豪國際飯店透過 AI 監測房間能源使用，並利用智能空調系統降低碳排放。,沒有經驗,目前尚未執行過碳盤查或 ESG 相關訓練，建議從基本數據記錄開始。,曾參加基礎培訓,可能有參加過 ESG 相關課程，但尚未實際應用於碳盤查。,內部曾執行碳盤查,曾經建立數據管理流程，但尚未完整落實 ESG 盤查標準。,由第三方協助執行,企業曾聘請 ESG 顧問或專業機構執行碳盤查，提高數據的準確性與可信度。,不知道/不確定,可從過去的能源帳單、供應商報告等資料檢視是否曾有盤查紀錄。 ,"是否為內部舉辦或外部參與？, 哪些部門有受訓？",TRUE,TRUE,如有記錄可填寫主辦單位與時間,教育訓練與組織準備,確認企業是否具備基礎培訓與內部意識建構,"ESG訓練, 員工教育, 盤查準備",,
B010,飯店業,飯店內部是否有明確的碳盤查負責人與執行團隊？,邊界設定與組織資訊,single,beginner,責任分工與管理制度,確認企業是否已建立專責人力與內部組織機制,確定負責人可確保碳盤查數據完整，並落實減排行動。例如，部分國際飯店集團設立專門的 ESG 團隊，負責能源管理、冷媒監測、綠電採購等，以達成碳中和目標。,沒有明確負責人,目前尚未指定專責團隊，可能影響碳盤查的完整性與落實度。,由工程部或管理團隊兼職負責,可能由營運團隊負責碳盤查，但可能缺乏專業知識與標準化流程。,有完整的 ESG 環境管理團隊,設有 ESG 團隊，負責制定減碳策略並監測碳足跡。,外部顧問協助,企業聘請 ESG 顧問，確保碳盤查符合國際標準，如 ISO 14064。,不知道/不確定,可從內部組織架構確認是否有 ESG 或永續發展相關職位。,"是否有正式職稱與責任分工？, 是否定期追蹤進度？",FALSE,TRUE,如無明確分工可填「尚未建立」,組織治理與執行能力,評估企業是否建立明確的內部責任制度與運作流程,"執行團隊, 盤查制度, ESG治理",,
S001,飯店業,飯店溫室氣體排放的主要來源是什麼？,排放源辨識與確認,multiple,beginner,排放源分類診斷,能辨識公司溫室氣體的各類主要排放來源,飯店的碳排放來自於能源使用、空調冷媒、供應鏈（備品與餐飲）、建築維護與廢棄物處理。確認主要排放來源能幫助飯店制定更精確的減碳策略，例如改用高效空調、減少一次性備品、優化房務流程。,電力使用,冷氣、電梯、照明等設備的長時間運作，影響能源消耗與碳排放。,空調與冷媒,冷氣與冷凍設備的冷媒可能為高 GWP 氣體，需定期檢查並改用環保冷媒。,供應鏈（備品與餐飲）,飯店採購的備品、家具與餐飲食材生產過程，對碳排放影響大。,廢棄物處理,一次性備品與食物浪費會增加碳足跡，應採取回收與減廢計畫。,建築維護,飯店的翻新與維護，如空調管路、電力設施等，會影響碳排放量。,"哪些來源與客房、公共區域有關？, 哪些與供應鏈或廢棄物有關？",FALSE,TRUE,可依實際場域經驗選擇,排放盤點,建立對主要溫室氣體來源的辨識能力,"溫室氣體, 營運排放, 範疇分類",,
S002,飯店業,飯店主要能源使用有哪些？,排放源辨識與確認,multiple,beginner,能源使用盤點,理解公司能源使用結構，為盤查提供基礎依據,飯店的主要能源來自電力（冷氣、電梯）、天然氣（鍋爐、熱水系統）、柴油（發電機）。部分永續飯店已開始採用太陽能板提供照明與加熱熱水，以降低碳排放。,電力,主要用於照明、電梯、冷藏設備等，影響飯店的範疇二碳排放。,天然氣,多用於鍋爐、熱水系統與廚房設備，屬於範疇一直接排放。,柴油,發電機與某些加熱設備可能使用柴油，應監控使用量以減少碳排。,太陽能,部分飯店已開始使用太陽能提供熱水與部分電力需求，降低碳排放。,不知道/不確定,可從能源帳單與設備使用數據開始盤點飯店的主要能源消耗。,"是否來自電力、瓦斯或再生能源？, 是否為固定合約或浮動計費？",FALSE,TRUE,如有不同能源類型請列出,能源使用盤點,建立對主要能源來源與用量的基本掌握,"電力使用, 熱能來源, 能源盤點",,
S003,飯店業,飯店營運中是否有直接燃料燃燒？,排放源辨識與確認,single,beginner,直接排放辨識,判斷公司是否有來自燃燒設施的直接排放來源,飯店的直接燃料燃燒（範疇一）主要來自鍋爐、發電機及中央供暖系統，這些設備通常使用天然氣、柴油或重油。若飯店擁有這些設備，應確保燃燒效率，以降低碳排放。,沒有,飯店僅使用電力與外部能源供應，無直接燃料燃燒設備。,只有少量（如熱水鍋爐）,僅限於供應客房或餐飲部門的鍋爐，影響相對較小。,有固定設備燃燒（如發電機、鍋爐）,發電機與鍋爐屬於主要碳排來源，應監控燃料使用量並提高效率。,有大型燃燒設施（如中央供熱系統）,若飯店擁有中央供暖系統，應考慮使用低碳燃料或升級設備降低排放。,不知道/不確定,可檢查飯店能源設備的燃料類型與年度維護紀錄，以確認燃燒排放來源。,是否有鍋爐、烘衣機、燃氣熱水器？,TRUE,TRUE,請說明是否有明火或燃料設施,直接排放識別,區分營運中是否涉及範疇一排放來源,"範疇一, 燃料燃燒, 設備使用",,
