question_id,industry_type,question_text,topic_category,option_type,difficulty_level,report_section,learning_objective,question_note,option_A,option_A_note,option_B,option_B_note,option_C,option_C_note,option_D,option_D_note,option_E,option_E_note,follow_up,allow_custom_answer,allow_skip,free_answer_note,report_topic,learning_goal,answer_tags,,
C000,物流業,什麼是溫室氣體？,ESG 教學導入,multi_learning,teaching,ESG 教學導入,認識溫室氣體種類與物流營運的關聯性,物流業的主要排放來自運輸燃料燃燒、倉儲設施耗能與冷鏈設備。除了常見的二氧化碳，還包括甲烷、氧化亞氮與冷媒等。理解這些排放來源，是推動碳盤查與 ESG 的第一步。,CO₂,二氧化碳，最常見，來自柴油、汽油與電力使用,CH₄,甲烷，可能來自封閉式倉儲或廢棄物有機物的分解,N₂O,氧化亞氮，來自車輛尾氣與燃燒不完全,HFCs,氫氟碳化物，來自冷鏈運輸與冷凍倉儲的冷媒,SF₆,六氟化硫，雖少見但可能出現在高壓設備與維修工具中,哪些來自車輛？哪些來自倉儲與冷鏈設備？,FALSE,TRUE,看完說明即可繼續,ESG 認知導入,建立用戶對常見溫室氣體種類與來源的基礎理解,"ESG基礎, 物流排放, 教學題",,
C001,物流業,物流業的碳排放來自哪些地方？,排放源辨識與確認,multiple,beginner,排放源分類診斷,能辨識企業內部與外部主要碳排放來源,物流業的碳排來源主要包括運輸車隊燃料、倉儲空間能源使用、包裝材料與設備維護。理解排放構成，有助建立減碳策略與改善配送效率。,車輛燃料消耗,柴油卡車與貨車的行駛距離與油耗為最主要來源,倉儲與設施用電,倉儲冷氣、照明、設備與冷鏈耗能皆產生碳排,包裝與耗材使用,使用大量一次性包材、塑膠捆膜等會提升間接排放,維修與輪替週期,頻繁的維修與替換零件、設備汰換也會產生額外排放,外包與聯營模式,使用第三方物流與外包配送時，間接排放仍屬於企業責任,哪些來源能靠車隊管理或物流路線優化改善？,FALSE,TRUE,看完說明即可繼續,碳排放來源辨識,能初步理解營運活動與碳排放的對應關係,"排放源, 車隊營運, 倉儲能源",,
C002,物流業,什麼是碳足跡？,排放源辨識與確認,multiple,beginner,排放熱點分析,理解碳足跡概念，並能識別企業流程中高碳區塊,碳足跡是指一項物流服務從接單、運送、倉儲到退貨所產生的碳排放總量。透過記錄油耗、電費、包裝與作業數據，可計算單位物流服務的碳足跡，支援效率提升與溝通應用。,接單與物流路徑,接單系統與配送規劃的路線長短與調度方式會影響排放,車隊與燃料效率,車齡、耗油率與司機操作習慣影響碳足跡精準度,倉儲與冷鏈設備,倉庫能效與冷藏設備使用時間會增加總排放,包裝與回收制度,是否使用可重複包裝與退貨流程設計會大幅影響碳足跡,顧客取件與交付,是否提供一次送達、多點取件等服務型態會影響使用階段碳排,碳足跡如何幫助物流企業提升管理與形象？,FALSE,TRUE,看完說明即可繼續,碳足跡基礎概念,建立從服務與運輸流程視角理解碳排放的能力,"碳足跡, 運輸熱點, 倉儲流程",,
C003,物流業,為什麼物流業需要進行碳盤查？,報告需求與後續行動,multiple,beginner,碳盤查動機與導入評估,釐清企業盤查動機，作為診斷起點依據,碳盤查能協助物流企業掌握營運碳排分布，提升車隊效率、倉儲能耗管理與客戶信任。面對碳費法規與供應鏈要求，提早導入是競爭優勢關鍵。,降低油耗與成本,找出油耗高的路線與車輛，有助於節能減排,回應法規趨勢,政府與供應鏈越來越重視碳資料揭露與排放計算,吸引綠色合作,綠色物流與永續供應是國內外品牌合作的基本門檻,建立追蹤制度,整合 GPS、ERP 與油耗資料，有助監控與預測碳排,客戶與股東期望,ESG 營運越被視為服務品質的一環，也影響信任度與忠誠度,哪些誘因是導入碳盤查的驅動力量？,FALSE,TRUE,看完說明即可繼續,ESG 行動動機辨識,建立企業導入碳管理的誘因理解能力,"碳管理誘因, 法規回應, 成本優化",,
C004,物流業,物流業的碳盤查數據從哪裡來？,數據收集方式與能力,multiple,beginner,活動數據基礎盤點,檢視企業現階段掌握的數據類型與完整度,物流業的碳排放資料可來自油耗紀錄、物流里程、倉儲電力、包裝耗材、設備保養紀錄等。建立數據架構能協助估算碳排、回應外部查核與規劃減排方案。,油耗與行車紀錄,車輛每次行駛的油耗、里程、停留點與配送量資料,倉儲設施用能,倉庫照明、冷藏系統、裝卸機具的電費與使用時間,包材與耗材報表,每月包裝與緩衝耗材用量能反映間接排放水平,車隊維修紀錄,維修週期與更換零件數據反映設備老化程度與能效狀況,整合系統與 GPS,TMS、ERP 與 GPS 數據串聯，有助自動盤查,哪些數據你們已系統化管理？哪些仍靠人工記錄？,FALSE,TRUE,看完說明即可繼續,數據來源與記錄盤點,提升企業盤查資料管理與組織能力,"油耗資料, 倉儲系統, 物流記錄",,
B001,物流業,公司規模如何？（員工數、車隊規模、營運據點數量）,邊界設定與組織資訊,single,beginner,組織現況分析,理解公司組織結構與規模對盤查邊界的影響,物流業的規模影響碳盤查範圍，小型物流企業可使用簡化盤查方式，而大型物流企業或多據點營運需整合不同區域的數據。對於擁有自有車隊的企業，應聚焦於範疇一（Scope 1）與範疇二（Scope 2）排放，如燃油消耗與倉儲能源使用。而倚賴第三方物流（3PL）的企業，則應納入範疇三（Scope 3）排放，確保盤查數據完整。,1-10人,小型物流企業，碳盤查範圍較簡單，主要依靠範疇一與範疇二的數據。,11-50人,中型企業，涵蓋更多排放源，需要更精細的數據管理。,51-200人,大型企業，可能需要整合多地區的數據與供應鏈碳排放數據。,201-500人,更大型的公司，需跨多個據點及車隊進行碳排放管理。,單一據點,主要營運據點相對單一，碳盤查較簡單，但仍需包含各類排放源。,是否為全國型、區域型、或轉運中心模式？是否包含自營與加盟站點？,TRUE,TRUE,可說明目前員工數、車輛數與據點分布情況,營運規模與邊界設定基準,建立物流業碳盤查所需的範圍界定能力，釐清盤查主體,"營運據點, 車隊規模, 員工人數",,
B002,物流業,盤查範圍包含哪些運輸與倉儲環節？,邊界設定與組織資訊,multiple,beginner,邊界與盤查範圍,能掌握企業在碳盤查時已納入的營運範疇,盤查範圍決定數據收集的精確度。例如，若盤查僅限自有車隊，則需記錄每台車的燃油消耗與冷鏈設備能耗；若包含外包運輸，則需向供應商索取物流碳足跡報告（CO₂e/噸公里）。完整盤查應涵蓋車輛燃油消耗、倉儲能耗、冷鏈設備排放、物流配送碳足跡，確保企業能全面掌握碳排放來源。,全部運營,完整盤查涵蓋所有運輸與倉儲環節，從車隊到物流倉儲再到配送。,特定運輸類別（陸運/空運/海運）,盤查範圍聚焦於某一類運輸方式，如陸運、空運或海運，碳排放來源範圍較窄。,供應鏈物流碳足跡,盤查範圍包括供應鏈中的運輸與物流服務，涉及外包物流商的碳足跡數據。,不知道/不確定,若不確定，建議全面盤查所有物流與倉儲環節，避免遺漏關鍵碳排數據。,,,是否涵蓋長途幹線、城市配送、冷鏈運輸、倉儲設施或中轉站？,FALSE,TRUE,可列出包含哪些作業區段或倉儲設施,碳盤查範圍與作業活動劃分,協助企業判定碳盤查的活動邊界與可能需要的數據項目,"運輸環節, 倉儲設施, 活動邊界",,
B003,物流業,企業是否有特殊因素影響盤查邊界？（如第三方物流、供應鏈合作）,邊界設定與組織資訊,multiple,intermediate,邊界與合作關係界定,能辨識企業合作模式並思考其對碳盤查邊界的影響,第三方物流（3PL）影響範疇三碳排放計算，企業應明確自身營運與供應鏈的責任邊界。例如，若公司主要依賴物流供應商（如 DHL、UPS）運輸貨物，則應要求供應商提供碳排放數據，以確保符合 GHG Protocol 或 ISO 14064-1 碳盤查標準。此外，若企業擁有自有車隊但外包部分運輸，應清楚區分內部與外部物流的碳排放範圍，確保盤查準確性。,沒有特殊因素,企業的碳排放源主要來自內部車隊與倉儲，範疇一與範疇二為主。,外包物流為主,企業依賴外包物流，需向供應商索取物流碳足跡報告，增加範疇三排放。,內外包混合,企業同時有內部車隊與外包物流，需清晰區分內外部碳排數據。,供應鏈合作物流,企業與供應商合作共用運輸資源，需整合各方數據進行全面碳盤查。,不知道/不確定,若不確定，建議與第三方物流商合作時，要求提供具體碳排數據，確保範疇三排放納入。,是否含轉投資物流商、第三方業者、或聯營據點？,TRUE,TRUE,可說明哪些碳排來源因權屬複雜而難歸屬,組織邊界與特殊營運模式辨識,評估盤查主體是否受異質經營模式、委外服務影響,"委外運輸, 組織邊界, 第三方物流",,
B004,物流業,是否有專職人員或團隊負責碳盤查？,邊界設定與組織資訊,single,beginner,永續推動角色與資源,確認企業是否具備基本的永續推動人力與責任配置,碳盤查數據需長期追蹤，物流企業若缺乏專職團隊，數據收集與管理可能不穩定，導致數據缺失或錯誤。例如，貨車的燃油消耗、GPS 里程數、冷鏈設備運行時間，需定期監測與記錄。建議企業指派專人管理，或導入顧問輔導，確保數據收集符合標準，並可追溯與驗證。,沒有專職人員,企業未指定專職人員，數據收集與管理可能無法達到標準。,由環保/營運部門兼職,企業由現有部門兼職負責碳盤查，可能影響數據完整性與管理效果。,設有專職碳管理團隊,企業設立專職碳管理團隊，負責專業化碳排放監測與報告。,外部顧問協助,企業委託外部顧問協助碳盤查，保證數據收集與分析符合標準。,不知道/不確定,若不確定，建議設立專職團隊或外包給專業顧問以確保數據管理質量。,是否由營運部、車隊調度、或永續管理部門主導？,TRUE,TRUE,可說明目前負責碳盤查的主要部門或團隊,ESG 組織配置與責任分工制度,確認物流業內 ESG 導入是否具備內部專責或跨部門合作制度,"ESG負責人, 跨部門協作, 車隊管理部門",,
B005,物流業,是否已有溫室氣體管理政策？,邊界設定與組織資訊,single,intermediate,減碳政策制定現況,檢視企業是否具備明確政策與實質減碳規劃,碳管理政策是企業減排計劃的基礎，物流業應結合政府法規與市場趨勢，制定車隊減排目標、倉儲節能方案、供應鏈減碳計劃。例如，2025 年減碳 10%、2030 年使用 50% 新能源車，可降低營運風險並提升 ESG 表現。企業可參考 ISO 14064 來制定減排政策，確保合規並提高市場競爭力。,沒有政策,企業未設立碳管理政策，缺乏系統的減碳目標與行動計劃。,初步擬定減排政策,企業已擬定減排政策，但未制定具體的行動計劃與目標。,內部已有完整政策,企業已建立完整的碳管理政策，涵蓋範疇 1、2、3 的減碳策略與目標。,符合國際標準（ISO 14064）,企業碳管理政策符合 ISO 14064 或其他國際標準，減排行動具備合規性與透明度。,不知道/不確定,若不確定，建議參考 ISO 14064 標準來制定減排政策，並設立具體的減碳目標。,是否有文件、信件、或公開聲明？是否納入政策管理或供應商守則？,FALSE,TRUE,可說明是否已正式建立溫室氣體管理政策,碳排政策建立與溝通制度,建立企業對外與對內的溫室氣體管理承諾，並作為盤查與審核依據,"ESG政策, 管理制度, 對外聲明",,
