question_id,industry_type,question_text,topic_category,option_type,difficulty_level,report_section,learning_objective,question_note,option_A,option_A_note,option_B,option_B_note,option_C,option_C_note,option_D,option_D_note,option_E,option_E_note,follow_up,allow_custom_answer,allow_skip,free_answer_note,report_topic,learning_goal,answer_tags,,
C000,辦公室與服務業,什麼是溫室氣體？,ESG 教學導入,multi_learning,teaching,ESG 教學導入,認識溫室氣體種類與辦公室日常的關聯性,辦公空間日常會產生多種溫室氣體，包括冷氣、照明、電腦設備與印表機等耗能，還有清潔與交通相關排放。除了二氧化碳，還有甲烷、氧化亞氮與冷媒等。了解這些排放是進入 ESG 的第一步。,CO₂,二氧化碳，最常見，來自電力、照明、交通等,CH₄,甲烷，可能來自廢棄物處理與有機垃圾分解,N₂O,氧化亞氮，可能出現在高溫設備或柴油車輛排氣,HFCs,氫氟碳化物，常見於空調與冷氣系統使用的冷媒,SF₆,六氟化硫，少見但可能出現在特定電力備援設備,哪些排放來自日常辦公？哪些屬於間接排放？,FALSE,TRUE,看完說明即可繼續,ESG 認知導入,建立用戶對常見溫室氣體種類與來源的基礎理解,"ESG基礎, 辦公耗能, 教學題",,
C001,辦公室與服務業,辦公室的碳排放來自哪些地方？,排放源辨識與確認,multiple,beginner,排放源分類診斷,能辨識企業內部與外部主要碳排放來源,辦公與服務業的碳排主要來自能源使用（照明、空調、設備）、員工交通（通勤、出差）、辦公耗材與清潔服務。了解來源有助於優化營運流程與資源配置。,空調與照明用電,電力用於冷氣、照明、插座設備等為主要來源之一,資訊設備與伺服器,桌機、筆電、印表機與雲端服務耗能明顯,通勤與交通補助,員工每日通勤與商務出差產生的交通碳排,耗材與辦公用品,紙張、列印、筆類等使用頻繁會造成間接碳排,清潔與外包服務,辦公室清潔、送水與外包業務常產生額外間接排放,哪些碳排能從日常營運中改善？,FALSE,TRUE,看完說明即可繼續,碳排放來源辨識,能初步理解營運活動與碳排放的對應關係,"排放源, 辦公營運, 初階診斷",,
C002,辦公室與服務業,什麼是碳足跡？,排放源辨識與確認,multiple,beginner,排放熱點分析,理解碳足跡概念，並能識別企業流程中高碳區塊,碳足跡是指服務或活動在整體運作中產生的碳排放總量。對辦公業來說，會涉及電力使用、郵寄與出差、紙張與文具、客戶來訪等，每一項都構成碳足跡的一部分。,能源與電力,空調、伺服器、照明、電腦為高碳排熱點,員工活動,出差、通勤、線上會議伺服器使用等為碳足跡來源,行政與內勤流程,紙本文件、掃描列印與倉儲方式影響整體碳排,對客服務階段,客戶來訪、洽談接待、展示場佈建設可能提升用能,資訊技術與雲端系統,雲端備份、AI 模型、影像會議等服務使用率逐年升高,辦公室的碳足跡可應用在哪些管理策略？,FALSE,TRUE,看完說明即可繼續,碳足跡基礎概念,建立從服務與辦公流程視角理解碳排放的能力,"碳足跡, 服務業營運, 系統耗能",,
C003,辦公室與服務業,為什麼辦公室需要進行碳盤查？,報告需求與後續行動,multiple,beginner,碳盤查動機與導入評估,釐清企業盤查動機，作為診斷起點依據,辦公場所進行碳盤查能提升能源效率、優化資源使用、回應 ESG 趨勢與法規要求。也有助於企業強化形象、獲取補助並建立內部管理機制。,降低營運成本,對照能耗熱點改善空調照明等設備運作效率,提升品牌形象,回應顧客與員工對環保承諾的期待,因應法規要求,面對即將上路的碳揭露或碳費政策需要盤查基礎,爭取補助資源,ESG 計畫與補助申請多需檢附碳排數據,強化部門責任制度,確立碳盤查職責與內部教育制度，有助後續長期推動,你的組織導入碳盤查會有哪些好處？,FALSE,TRUE,看完說明即可繼續,ESG 行動動機辨識,建立企業導入碳管理的誘因理解能力,"ESG動機, 辦公資源, 管理制度",,
C004,辦公室與服務業,辦公室碳盤查的數據從哪裡來？,數據收集方式與能力,multiple,beginner,活動數據基礎盤點,檢視企業現階段掌握的數據類型與完整度,辦公室碳排查的資料來自電費帳單、設備耗電數據、出差與交通紀錄、清潔與外包合約、紙張與耗材採購。整合這些資料能提升報告與管理效率。,電費與空調記錄,冷氣、照明與插座使用的電費為碳盤查最基本資料之一,出差與通勤統計,含高鐵、航空、交通津貼與通勤方式等差旅交通記錄,紙張與耗材採購,含 A4 紙、墨水、文具與活動包裝等耗材支出記錄,清潔與外包服務,含清潔公司、補水、影印維護、臨時工讀等間接排放,雲端與伺服器系統,企業是否使用雲端備份、AI、資料儲存平台會影響用電與排放,哪些資料可從系統自動化導出？哪些仍需人工紀錄？,FALSE,TRUE,看完說明即可繼續,數據來源與記錄盤點,提升企業盤查資料管理與組織能力,"辦公數據, 記錄來源, 自動化管理",,
B001,辦公室與服務業,公司規模如何？（員工數、辦公據點數量、服務範圍）,邊界設定與組織資訊,single,beginner,組織現況分析,理解公司組織結構與規模對盤查邊界的影響,辦公室與服務業的碳盤查範圍取決於企業規模與據點數量。小型辦公室主要關注電力消耗與員工通勤，而多據點企業則需整合所有據點的數據，確保數據一致性與完整性。企業應確保所有辦公室的能源使用數據可比較，並制定減碳策略，如提升設備能源效率、導入綠電、鼓勵員工使用公共運輸等。,1-10人,企業規模較小，碳排放主要來自小範圍的日常運營。,11-50人,中小型企業，可能有部分集中管理的碳排放來源，但仍需整合數據。,51-200人,企業規模擴大，需整合更多據點的數據來進行全面碳盤查。,201-500人,多據點企業，需整合全球或地區性業務的碳排放數據。,不知道/不確定,若不確定規模大小，建議核實公司內部規模與辦公據點數量，並根據情況調整碳盤查範圍。,是否為單一據點、多地辦公、混合遠距模式？服務涵蓋國內或海外？,TRUE,TRUE,可列出目前員工數、辦公地點與服務區域,組織規模與據點範圍辨識,確認碳盤查邊界應涵蓋的據點與工作型態,"員工人數, 據點分布, 遠距模式",,
B002,辦公室與服務業,盤查範圍包含哪些營運活動？,邊界設定與組織資訊,multiple,beginner,邊界與盤查範圍,能掌握企業在碳盤查時已納入的營運範疇,盤查範圍決定數據收集的完整性。例如，若僅盤查總部辦公室，應記錄電力消耗與員工通勤碳足跡；若涵蓋供應鏈，則需向供應商索取相關碳排放數據。完整盤查應包括 IT 設備能耗、辦公空間電力使用、通勤與商務出差碳排放，以確保碳排放來源全面掌握。,全部運營,完整盤查涵蓋辦公室內外的所有營運活動，包括用電、員工通勤等。,特定部門（IT / 人事 / 財務）,僅針對某些部門進行盤查，數據不夠全面，難以反映整體碳排放。,供應鏈與外包服務,外包服務（如 IT 設備提供、清潔服務）也涉及碳排放，應納入盤查。,不知道/不確定,若不確定盤查範圍，建議先從最核心的業務和活動入手，逐步擴展。,,,是否包含辦公區用電、會議、行政管理、員工通勤或外包行政？,FALSE,TRUE,可說明目前認定屬於盤查範圍的營運行為,營運活動盤查邊界設定,協助定義何種活動算作 ESG 盤查中應計入的排放來源,"範疇一二三, 辦公活動, 營運行為",,
B003,辦公室與服務業,企業是否有特殊因素影響盤查邊界？（如外包服務、供應鏈影響）,邊界設定與組織資訊,multiple,intermediate,邊界與合作關係界定,能辨識企業合作模式並思考其對碳盤查邊界的影響,服務業常依賴供應商提供 IT 設備、印刷、清潔與餐飲等外包服務，這些項目屬於範疇三碳排放。企業應明確自身營運與供應鏈的責任邊界，例如雲端供應商的數據中心碳排放應納入盤查，以確保準確性與符合 GHG Protocol 或 ISO 14064-1 標準。,沒有特殊因素,企業內部運營無額外因素，僅針對內部活動進行碳盤查。,外包服務為主,外包服務影響範疇三碳排放，應確保供應商提供碳排放數據。,內外包混合,企業有內部與外部服務的混合模式，需區分內部與外部服務的碳排放數據。,供應鏈合作,若企業與供應商合作，需索取供應鏈合作方的碳排放數據，確保全面盤查。,不知道/不確定,若不確定，建議進一步檢視外包服務與供應鏈關係，確保盤查範圍完整。,是否有外包行政、共享空間、或由總公司提供後勤與資安系統？,TRUE,TRUE,可說明哪些營運特性讓邊界界定更為複雜,組織邊界與特殊營運模式辨識,協助企業明確切分盤查責任與範疇判定邏輯,"外包, 總部集中, 邊界判定",,
B004,辦公室與服務業,是否有專職人員或團隊負責碳盤查？,邊界設定與組織資訊,single,beginner,永續推動角色與資源,確認企業是否具備基本的永續推動人力與責任配置,若無專職團隊，碳盤查數據收集與管理可能不穩定，導致數據缺失或錯誤。建議企業指派專人管理或導入 ESG 顧問輔導，確保數據收集符合國際標準，並可追溯與驗證。,沒有專職人員,若無專職團隊，數據管理及計算可能無法穩定進行，需依賴多部門協作。,由行政/人資部門兼職,由行政或人力資源部門負責，可能無法專注於碳盤查數據的精確收集。,設有專職碳管理團隊,企業已設立專職碳管理團隊，能專注於碳盤查與減碳計劃的實施。,外部顧問協助,若企業未設專職團隊，可依賴外部顧問來協助碳盤查及減碳策略設計。,不知道/不確定,若不確定，建議設立專職團隊或尋求外部顧問協助，以確保碳盤查精確性。,是否由人資、總務、ESG、資訊部門或專責小組負責？,FALSE,TRUE,可列出目前誰負責記錄與回報碳排資料,ESG 組織配置與責任制度,評估碳盤查在組織中的實際主責單位與跨部門協作程度,"ESG負責人, 跨部門支援, 資料彙整",,
B005,辦公室與服務業,是否已有溫室氣體管理政策？,邊界設定與組織資訊,single,intermediate,減碳政策制定現況,檢視企業是否具備明確政策與實質減碳規劃,辦公室與服務業的減碳政策可涵蓋辦公設備節能、綠電採購、碳中和商務旅行等。例如，企業可設定 2025 年減少 15% 用電量、2030 年 50% 電力來自再生能源，或優先選擇低碳供應商，確保符合 ESG 要求。,沒有政策,企業尚未制定碳管理政策，無明確的減碳目標與計劃。,初步擬定減排政策,企業已初步討論減排目標，但尚未具體化為正式政策。,內部已有完整減碳政策,企業已設立減排目標與計劃，並開始實施。,符合國際標準（ISO 14064）,企業減碳政策符合國際標準（如 ISO 14064），確保合規並提升國際形象。,不知道/不確定,若不確定，建議企業制定短期與長期減碳目標，並根據 ESG 要求進行調整。,是否有正式聲明、環境政策或 ESG 承諾？,TRUE,TRUE,可說明政策是否為內部公告或對外發布,溫室氣體政策與管理基礎,確認企業是否已建立 ESG 承諾基礎並具制度化,"ESG政策, 環境聲明, 永續承諾",,
