question_id,industry_type,question_text,topic_category,option_type,difficulty_level,report_section,learning_objective,question_note,option_A,option_A_note,option_B,option_B_note,option_C,option_C_note,option_D,option_D_note,option_E,option_E_note,follow_up,allow_custom_answer,allow_skip,free_answer_note,report_topic,learning_goal,answer_tags,
S000,餐飲業,什麼是溫室氣體？,ESG 教學導入,multi_learning,teaching,ESG 教學導入,認識溫室氣體種類與餐飲日常的關聯性,餐飲業常見的碳排來源其實都是溫室氣體，例如瓦斯使用、電力耗用、廚餘與冷氣。所謂溫室氣體，是指會造成地球暖化的氣體，不只二氧化碳，還包括甲烷、氧化亞氮、冷媒等。了解這些氣體從哪裡來、和餐廳營運有何關聯，是開始碳盤查與 ESG 的第一步。,CO₂,二氧化碳，最常見，來自電力與瓦斯燃燒,CH₄,甲烷，來自廚餘、油水分離不當或廢棄物處理,N₂O,氧化亞氮，高溫烹飪或烘焙可能產生,HFCs,氫氟碳化物，常見於冷凍櫃或空調設備的冷媒,SF₆,六氟化硫，雖少見但存在於某些高壓或特殊設備,哪些排放來自廚房？哪些是冷氣與冷藏？,FALSE,TRUE,看完說明即可繼續,ESG 認知導入,建立用戶對常見溫室氣體種類與來源的基礎理解,"ESG基礎, 餐飲業排放, 教學題",
S001,餐飲業,碳盤查是什麼？,ESG 教學導入,multi_learning,teaching,ESG 教學導入,建立對碳盤查的完整結構與流程概念,「碳盤查」不是寫報告而已，而是釐清一間餐廳在營運中每個會產生碳排的環節，包含用電、瓦斯、食材運輸、包裝與廢棄物處理。這些排放會依據來源被歸類為不同「範疇」。從了解組織範圍開始，建立一套可持續追蹤的盤查機制，是 ESG 實務的基礎。,哪些活動算排放,用電、燃氣、食材、物流、垃圾等皆屬於排放活動,該從哪裡開始,從組織邊界開始界定，如是單店或連鎖，再盤點能源與原物料使用,有沒有工具輔助,可使用 Excel 模板或免費試算表記錄數據,是政府規定嗎,有些補助申請、供應鏈要求會附帶碳盤查規範,與碳足跡差在哪,碳盤查看整體營運，碳足跡看單一產品或服務,怎麼定義範疇一、二、三？,FALSE,TRUE,不懂也沒關係，看完選項即可,ESG 認知導入,建立碳盤查流程的邏輯結構與企業操作認知,"碳盤查流程, 餐飲排放活動, ESG教學",
S002,餐飲業,碳足跡是什麼？,ESG 教學導入,multi_learning,teaching,ESG 教學導入,認識產品或服務在不同階段產生的碳排放總量,「碳足跡」是產品或服務從原料、生產、使用到廢棄整個生命週期所產生的總碳排放。以一個便當為例，碳足跡會包含食材的產地與運輸、烹飪時的瓦斯、使用的包裝、甚至顧客吃完後丟垃圾的過程。它常應用於產品標示或環境溝通，是從單位產品視角看 ESG 的方式。,哪些流程納入計算,含原料採購、製備、配送、使用、廢棄等五階段,和碳盤查一樣嗎,碳盤查針對公司營運，碳足跡針對單一商品或行為,餐廳能自己做嗎,可透過 Excel 工具加上碳排因子估算,有實際用途嗎,可應用於產品訴求、碳標籤、食材採購或教育顧客,和顧客有關嗎,是的，外送、包裝選擇與顧客行為都會影響總碳排,怎麼開始計算一道菜的碳足跡？,FALSE,TRUE,可先用試算表簡單估算,ESG 計算概念,建立產品導向的碳管理與品牌溝通邏輯,"餐飲碳足跡, 生命周期, ESG商品化",
S003,餐飲業,誰需要做碳盤查或碳足跡？,ESG 教學導入,multi_learning,teaching,ESG 教學導入,協助企業判斷推動 ESG 或碳盤查的情境與誘因,並非只有大企業才要做碳盤查。若你是加盟品牌、有外送服務、有中央廚房、申請政府補助、或面對 ESG 要求的供應鏈，你就可能需要。就算不是被要求，若想改善效率、提升品牌，也可以主動進行。透過這題，你可以快速判斷自己的情境是否需要進行 ESG 相關盤查。,連鎖品牌,有中央廚房、多據點與統一採購，更應建立碳排盤查機制,外送服務,外送車輛與包裝行為會帶來額外碳排，值得記錄與改善,政府補助,很多補助都要求提供碳盤查或排放佐證,供應鏈要求,供應商品牌要求提供 ESG 文件與減碳證明,自主改善,主動導入碳盤查可改善營運與形象，爭取更多 ESG 資源,小型餐廳是否也該做？,FALSE,TRUE,看說明後再評估適用與否,ESG 推動時機,協助企業判斷推動 ESG 或碳盤查的情境與誘因,"ESG時機, 合規壓力, 餐飲實務導入",
S004,餐飲業,碳盤查與碳足跡的用意是什麼？,ESG 教學導入,multi_learning,teaching,ESG 教學導入,建立 ESG 行動背後的價值誘因與轉型機會,許多餐廳以為做 ESG 只是為了法規，但實際上碳盤查與碳足跡能幫助你了解哪裡最耗能、哪裡可以節省成本，甚至打造「低碳品牌形象」。本題將告訴你這些盤查行為背後的實質效益，讓你知道 ESG 並非只有義務，更是未來營運升級的策略。,提高效率,找出用電、瓦斯、運輸等資源浪費的環節並改善,品牌形象,傳達環保承諾，有助吸引重視永續的顧客與員工,合規因應,應對即將上路的碳費、碳揭露或供應鏈 ESG 查核,爭取補助,許多政府補助計畫將 ESG 作為申請門檻之一,ESG 策略規劃,可作為永續採購、菜單設計與供應商選擇的依據,ESG 能帶來哪些實質幫助？,FALSE,TRUE,看完每個面向可釐清整體脈絡,ESG 動機與效益,建立 ESG 行動背後的價值誘因與轉型機會,"ESG效益, 餐廳節能, 品牌形象提升",
B001,餐飲業,餐廳的規模？,邊界設定與組織資訊,single,beginner,組織現況分析,理解公司組織結構與規模對盤查邊界的影響,餐廳規模影響碳盤查範圍與管理方式。小型餐廳通常僅需記錄單一店面的能源使用和食材消耗，而連鎖餐廳則需整合各門市的數據，甚至納入中央廚房、物流運輸等。規模越大，所需的數據整合與報告機制越複雜。,1-10人,小型餐廳，碳盤查範圍主要聚焦在用電與食材消耗，數據較易收集。,11-50人,中型餐廳，可能涉及多點營運，需管理各分店數據。,51-200人,大型餐飲品牌，需考慮供應鏈碳排放，如物流與中央廚房。,201人以上,企業級連鎖餐飲，應建立碳管理團隊，涵蓋整個運營體系。,,,餐廳的規模是否會改變碳盤查的責任邊界？是否納入中央廚房與物流？,TRUE,TRUE,若有不清楚可描述實際組織狀況，我們將協助你判斷,邊界與組織規模,建立盤查邊界與企業實際運作規模之間的關聯認知,"組織規模, 單店/連鎖, 邊界劃分",
B002,餐飲業,餐廳的碳盤查範圍包含哪些部分？,邊界設定與組織資訊,multiple,beginner,邊界與盤查範圍,能掌握企業在碳盤查時已納入的營運範疇,若餐廳只盤查內部能源與廢棄物，數據可能不完整。建議納入食材來源、外送運輸、包裝廢棄物等，以獲得更全面的碳足跡分析。例如，外送平台依賴大量的包裝與交通運輸，這些碳排放往往佔比不小，若忽略，將低估整體影響。,單一店面,主要盤查餐廳本身的能源使用與食材浪費，較單純。,主要營運據點,除餐廳本身外，可能包含中央廚房、倉儲。,餐點製作與廚房,需要關注烹飪設備、瓦斯使用、廚餘管理等碳排放。,供應鏈（食材與物流）,若食材來自遠端，運輸過程碳排放應納入盤查。,餐具與包裝材料,許多一次性包裝會增加範疇三（供應鏈）的碳排放，應考慮可回收方案。,是否曾評估過食材來源與包裝材料對碳排放的影響？是否納入範疇三？,TRUE,TRUE,請分享你對於外送、包裝、食材運輸等碳排是否曾有盤查或思考,盤查範圍與細節,引導使用者理解範疇一到三的完整碳盤查脈絡,"範疇三, 外送碳排, 包裝影響",
B003,餐飲業,餐廳是否與其他企業有關聯？（如加盟、中央廚房）,邊界設定與組織資訊,multiple,intermediate,邊界與合作關係界定,能辨識企業合作模式並思考其對碳盤查邊界的影響,餐廳的經營模式會影響碳盤查範圍。使用中央廚房、加盟體系或外包供應鏈，碳排放可能來自不同環節。例如，中央廚房的能源使用與物流運輸應納入計算，以確保盤查完整性。,無特別關聯,主要考量餐廳本身的碳排放，如電力、燃氣、廢棄物等。,加盟或授權經營,需考量總部的供應鏈支援，例如統一進貨、包裝物流等對碳排的影響。,有中央廚房供應,需納入中央廚房的能源消耗、食材配送碳排放。,供應鏈合作夥伴,若與外部供應商合作，如物流或食材供應，應考量其碳排放影響。,不知道/不確定,可檢查你的採購單據、物流合作夥伴，確認是否涉及外部碳排放。,餐廳是否與中央廚房或外包供應鏈有合作關係？合作對碳排放有什麼影響？,TRUE,TRUE,若合作方式較複雜，可描述實際物流與生產鏈，由我們協助分類,合作模式與碳盤查,提高對合作關係下碳盤查邊界的辨識與資料歸屬理解,"加盟體系, 中央廚房, 供應鏈範疇",
B004,餐飲業,有專門負責環保或永續管理的人員嗎？,邊界設定與組織資訊,single,beginner,永續推動角色與資源,確認企業是否具備基本的永續推動人力與責任配置,餐飲業的碳盤查通常由店長、經營者或環保團隊負責。若無專職人員，建議內部指定一名員工負責收集數據，如能源用量、食材採購與廢棄物處理，或尋求專業顧問協助，以確保碳盤查的正確性與合規性。,沒有專職人員,可能需額外安排人員負責數據收集，確保數據完整性。,由廚房或經營團隊兼職,員工可兼職負責環境數據，但可能缺乏專業知識。,有專職永續團隊,能有效追蹤碳排放數據，制定可行的減排策略。,外部顧問協助,可以確保符合標準，如 ISO 14064，並減少內部管理負擔。,不知道/不確定,可以先從能源管理、食材採購數據開始收集，逐步建立制度。,永續管理是由誰推動的？是否有專職還是由店長或廚師兼任？,TRUE,TRUE,若不確定職責劃分，可敘述由誰收集能源與食材相關資料,永續人力資源與治理,瞭解推動永續行動背後所需的人員配置與責任歸屬,"永續職責, 內部分工, 店內推動人",
B005,餐飲業,餐廳是否已訂定減排政策？,邊界設定與組織資訊,single,intermediate,減碳政策制定現況,檢視企業是否具備明確政策與實質減碳規劃,減排政策可包含減少能源浪費、改用本地食材、減少一次性餐具等。例如，麥當勞、星巴克等餐飲業者已承諾減少碳足跡，採用節能設備與可回收包裝。ISO 14064 可提供系統化的減排行動規範，使企業能夠追蹤並報告減碳成果。,沒有,目前尚無明確減排目標，可能錯失未來市場與法規要求。,初步擬定目標,計畫減少能源浪費與包裝使用，但尚未實行。,有減排政策但未落實,企業已有初步框架，但缺乏執行與監測機制。,已制定具體政策（如 ISO 14064）,設有完整標準與目標，例如 5 年內減少 30% 碳排放。,不知道/不確定,可從政府規範、產業趨勢、內部用電與食材管理開始評估。,減排政策是否有具體量化目標？例如設定幾年內減少多少碳排？,TRUE,TRUE,若尚未設定具體政策，可從目前已實行的節能措施或採購策略說明,減碳政策與實踐,建立從政策擬定到實施監測的完整減碳策略意識,"政策目標, 執行監測, ISO14064",
