question_id,industry_type,question_text,topic_category,option_type,difficulty_level,report_section,learning_objective,question_note,option_A,option_A_note,option_B,option_B_note,option_C,option_C_note,option_D,option_D_note,option_E,option_E_note,follow_up,allow_custom_answer,allow_skip,free_answer_note,report_topic,learning_goal,answer_tags,,
C000,零售業,什麼是溫室氣體？,ESG 教學導入,multi_learning,teaching,ESG 教學導入,認識溫室氣體種類與零售日常的關聯性,零售門市在日常營運中也會排放各種溫室氣體，例如照明、冷藏設備、配送與包裝廢棄物。溫室氣體不只包含二氧化碳，還有甲烷、氧化亞氮與冷媒等。理解這些氣體的來源，是開始碳盤查與 ESG 的第一步。,CO₂,二氧化碳，最常見，來自照明、空調與物流運輸,CH₄,甲烷，來自包裝廢棄物、廚餘或有機垃圾分解處理,N₂O,氧化亞氮，可能來自冷藏設備、高溫加工或熱能設備,HFCs,氫氟碳化物，常見於門市冷藏、空調與冷凍展示櫃的冷媒,SF₆,六氟化硫，雖少見但可能存在於大型供電或UPS設備,哪些來自冷凍設備？哪些與物流或照明有關？,FALSE,TRUE,看完說明即可繼續,ESG 認知導入,建立用戶對常見溫室氣體種類與來源的基礎理解,"ESG基礎, 零售排放, 教學題",,
C001,零售業,零售業的碳排放來自哪些地方？,排放源辨識與確認,multiple,beginner,排放源分類診斷,能辨識企業內部與外部主要碳排放來源,零售業的碳排放主要來自店面用電（照明、冷氣、冷凍櫃）、物流運輸（配送、調貨）、商品包裝與一次性用品，以及廢棄物處理。了解這些來源，有助於找出減碳機會，降低成本並提升形象。,店鋪照明與空調,營業空間的電力使用，是零售業最主要的碳排來源之一,冷藏與展示設備,超商、超市或生鮮部門的冷藏設備耗能大，冷媒也會排放 GHG,物流與配送,從倉儲到門市的配送與調貨過程會產生大量油耗與碳排放,商品包裝,使用過度包材或塑膠袋是零售業常見的間接排放來源,廢棄物管理,商品過期、退貨品、包裝垃圾皆會影響總排放量,哪些來源能靠門市管理或系統改善？,FALSE,TRUE,看完說明即可繼續,碳排放來源辨識,能初步理解營運活動與碳排放的對應關係,"排放源, 零售營運, 初階診斷",,
C002,零售業,什麼是碳足跡？,排放源辨識與確認,multiple,beginner,排放熱點分析,理解碳足跡概念，並能識別企業流程中高碳區塊,碳足跡是指一間零售企業在商品販售與營運過程中產生的總碳排放量。它可透過記錄用電、物流、採購、包裝與廢棄物等數據來估算，協助企業識別減碳機會並優化流程。,店面營運行為,門市開燈時間、冷氣溫度設定等日常行為會影響碳足跡,商品與供應鏈,商品生產地、包材來源、採購方式影響整體碳足跡,倉儲與物流,倉庫與配送階段若效率不佳，會增加整體碳排量,顧客使用階段,顧客如何使用包裝、是否重複購物袋等行為也會影響碳足跡,設備保養與維護,不定期保養會讓用電效率降低，提升碳排放,零售碳足跡能怎麼應用在管理與溝通上？,FALSE,TRUE,看完說明即可繼續,碳足跡基礎概念,建立從產品與服務視角理解碳排放的能力,"碳足跡, 營運熱點, 零售業活動",,
C003,零售業,為什麼零售業需要進行碳盤查？,報告需求與後續行動,multiple,beginner,碳盤查動機與導入評估,釐清企業盤查動機，作為診斷起點依據,碳盤查可協助零售企業掌握耗能熱點，優化供應鏈、減少浪費並提升形象。面對 ESG 法規與消費者壓力，提早導入碳盤查能強化競爭力並避免潛在成本。,降低營運成本,找出高耗能設備與無效率流程，有助節電節資,回應法規與趨勢,政策日益強調碳披露，供應鏈碳盤查也成為新門檻,提升顧客好感,消費者愈重視環保價值，綠色品牌更具吸引力,爭取綠色採購,政府與大品牌選擇合作對象時更重視永續表現,建立制度與習慣,建立部門分工與記錄流程，有助減碳行動落實,哪些部門能成為碳盤查推動關鍵角色？,FALSE,TRUE,看完說明即可繼續,ESG 行動動機辨識,建立企業導入碳管理的誘因理解能力,"ESG動機, 零售效率, 節能政策",,
C004,零售業,零售業的碳盤查數據從哪裡來？,數據收集方式與能力,multiple,beginner,活動數據基礎盤點,檢視企業現階段掌握的數據類型與完整度,零售業碳盤查的數據來自營運與後勤系統，例如電費單、配送紀錄、採購發票與包裝耗材記錄等。透過這些數據可估算排放量，支援管理決策與報告撰寫。,店鋪能源帳單,門市與總部的電費與瓦斯使用，是排放的基礎來源之一,採購與庫存資料,商品、包裝、耗材與備品的採購資訊影響供應鏈碳足跡,配送與物流紀錄,調貨路線、車隊油耗與距離等數據是重要盤查依據,廢棄物與回收表單,商品過期報廢、包裝垃圾與回收狀況皆影響盤查結果,設備系統與 POS,POS 系統、能源監控或冷凍監控設備能提供更精準數據,哪些數據能自動化收集？哪些還靠人工整理？,FALSE,TRUE,看完說明即可繼續,數據來源與記錄盤點,提升企業盤查資料管理與組織能力,"數據收集, 零售營運, 記帳工具",,
B001,零售業,公司規模如何？（員工數、營業點數，單一/多點/連鎖？）,邊界設定與組織資訊,single,beginner,組織現況分析,理解公司組織結構與規模對盤查邊界的影響,零售業的公司規模與營業據點數影響碳盤查範圍與數據管理。小型零售店通常僅需記錄單一門市的用電、運輸與包裝數據，而大型連鎖零售企業則需整合多個門市、倉儲物流與供應鏈數據，需設計更嚴謹的盤查機制以確保數據一致性與合規性。,1-10人,適用於小型獨立商店，碳盤查範圍較單純，通常涵蓋門市用電與營運排放。,11-50人,適用於區域型零售店，可能需要追蹤基礎物流與倉儲能源使用。,51-200人,適用於連鎖品牌或中型超市，需整合多個門市與配送中心的碳排放數據。,201-500人,適用於全國性零售企業，應建立中央 ESG 團隊負責碳管理與報告。,501人以上,適用於國際零售集團，須整合全球數據並確保供應鏈碳排放管理。 ,"員工是否含兼職？, 營業據點為自營還是加盟？",TRUE,TRUE,可說明目前總人數與門市型態,組織規模與盤查邊界,釐清零售業多據點特性下的盤查適用邊界,"員工數, 營業據點, 連鎖類型",,
B002,零售業,預計盤查範圍是公司全部、特定門市？,邊界設定與組織資訊,multiple,beginner,邊界與盤查範圍,能掌握企業在碳盤查時已納入的營運範疇,碳盤查範圍決定了數據收集的深度與精準度。若選擇整體企業，需收集所有營運點的碳排放數據（如店鋪、倉儲、配送中心等）；若僅針對特定門市或產品生命週期，則可聚焦於特定零售活動（如物流配送、包裝、商品回收）。正確界定範圍有助於提高碳盤查的可行性與策略價值。,公司全部,包含所有門市、倉儲與物流，適用於企業級碳管理與合規需求。,主要門市,選擇影響較大的門市進行碳盤查，如旗艦店或高能耗店鋪。,特定產品生命週期,針對特定產品或品類進行碳足跡盤查，例如食品、時尚、電器等。,供應鏈特定環節,聚焦於物流或原材料生產的碳足跡，例如包裝材料與運輸方式。,不知道/不確定,應先確定企業 ESG 目標，選擇適當的盤查範圍。 ,"是否盤查全公司、特定店型或品牌？, 是否含總部與倉儲？",FALSE,TRUE,可說明目前初步規劃方式,盤查邊界與範圍設定,協助企業明確劃定排放盤查的範圍與執行起點,"組織範圍, 特定門市, 總部倉儲",,
B003,零售業,公司有無特殊因素影響邊界設定？（如轉投資、外包業務）,邊界設定與組織資訊,multiple,intermediate,邊界與合作關係界定,能辨識企業合作模式並思考其對碳盤查邊界的影響,零售業的組織結構與業務模式會影響範疇三（供應鏈碳排放）的計算，例如加盟體系、供應鏈合作夥伴、外包物流與倉儲等都可能影響碳盤查邊界。若企業與外包商或供應鏈合作密切，應將其納入盤查範圍，以提升碳報告的完整性與合規能力。,沒有特殊因素,適用於單一零售店或完整內部管理的企業，碳盤查範圍較明確。,有投資關聯企業,若企業持股供應商或關聯企業，應考慮納入其碳排放計算。,大量外包生產或營運,若產品製造與物流交由第三方，則須盤查供應鏈排放（範疇三）。,有跨國營運業務,適用於全球零售企業，碳盤查須符合不同國家的 ESG 法規。,不知道/不確定,應確認企業組織結構與合作模式，以確保碳盤查邊界合理。,是否有外包物流、品牌授權、轉投資或跨業營運？,TRUE,TRUE,可說明是否有複雜治理與營運關係,邊界影響因子與特殊狀況,評估組織結構是否影響 ESG 範疇或排放歸屬方式,"邊界例外, 外部控股, 外包事業",,
B004,零售業,有沒有負責碳盤查的專職人員或團隊？,邊界設定與組織資訊,single,beginner,永續推動角色與資源,確認企業是否具備基本的永續推動人力與責任配置,零售業碳盤查的數據涵蓋範圍廣泛，包括門市、倉儲、物流、供應鏈等，若無專職人員管理，可能導致數據不完整或計算錯誤。建議建立專責 ESG 團隊，負責數據收集、監測與報告，或考慮尋求外部顧問輔導，以確保碳盤查的準確性與長期監測能力。,沒有專職人員,企業內部尚未建立 ESG 管理，碳盤查可能僅由財務或營運部門兼職執行。,由環安部門兼職處理,環安部門負責碳管理，但可能缺乏專門 ESG 策略與報告機制。,有專職碳管理團隊,企業內設有 ESG 或永續發展部門，負責長期碳排放監測。,外部顧問協助,企業聘請顧問機構進行碳盤查，以確保合規與報告品質。,不知道/不確定,應確認企業內部是否已有負責碳管理的專業人員或顧問團隊。,是否為內部指派？是否有跨部門合作或委外顧問？,TRUE,TRUE,可說明是否為專職或兼任角色,ESG 責任歸屬與人力配置,探討企業是否配置資源支持碳管理與後續推動,"ESG負責人, 部門協作, 顧問協力",,
B005,零售業,現有溫室氣體管理政策內容是什麼？,邊界設定與組織資訊,single,intermediate,減碳政策制定現況,檢視企業是否具備明確政策與實質減碳規劃,零售業的溫室氣體管理政策是企業減碳計畫的基礎，涉及能源管理、物流減碳、供應鏈 ESG 要求等。若企業無明確政策，則難以設定有效的減排目標。成熟企業通常參考國際標準（如 ISO 14064、SBTi）來建立減碳政策，以確保合規性並提高市場競爭力。,沒有明確政策,企業尚未制定溫室氣體管理政策，可能影響 ESG 目標的設定與執行。,初步擬定減排政策,企業已開始規劃減排行動，但尚未設定具體的目標與執行細節。,內部已有完整溫室氣體管理政策,企業內部已建立溫室氣體管理架構，但尚未對標國際標準。,符合國際標準（如 ISO 14064）,企業已導入 ISO 14064 或 SBTi，確保減碳行動符合全球標準。,不知道/不確定,應確認企業是否有減碳政策，並評估是否符合市場需求與法規標準。 ,"是否為內部自訂或對應法規／集團規範？, 是否公告於外部？",FALSE,TRUE,可說明是否有正式發布或內部文件,GHG 政策與內部宣示,評估企業是否已建立正式的氣候政策與管理承諾,"GHG政策, 氣候治理, ESG承諾",,
