question_id,industry_type,question_text,topic_category,option_type,difficulty_level,report_section,learning_objective,question_note,option_A,option_A_note,option_B,option_B_note,option_C,option_C_note,option_D,option_D_note,option_E,option_E_note,follow_up,allow_custom_answer,allow_skip,free_answer_note,report_topic,learning_goal,answer_tags,,
C000,製造業,什麼是溫室氣體？,ESG 教學導入,multi_learning,teaching,ESG 教學導入,認識溫室氣體種類與製造活動的關聯性,製造業的工廠運作會排放多種溫室氣體，來源包括燃料使用、機械設備耗能、製程排氣與廢棄物處理。溫室氣體除了二氧化碳，還包含甲烷、氧化亞氮與冷媒等。了解這些氣體來源，是導入 ESG 的基礎。,CO₂,二氧化碳，最常見，來自鍋爐、機具與廠區用電,CH₄,甲烷，來自污水處理、廢水沉澱池或製程排放,N₂O,氧化亞氮，可能出現在高溫加工或某些熱處理製程,HFCs,氫氟碳化物，常見於空調與冷凍製程設備中的冷媒,SF₆,六氟化硫，雖少見但存在於高壓設備與特定電子產品製造過程,哪些來自生產線？哪些與設備維運有關？,FALSE,TRUE,看完說明即可繼續,ESG 認知導入,建立用戶對常見溫室氣體種類與來源的基礎理解,"ESG基礎, 製造排放, 教學題",,
C001,製造業,製造業的碳排放來自哪些地方？,排放源辨識與確認,multiple,beginner,排放源分類診斷,能辨識企業內部與外部主要碳排放來源,製造業的碳排放來源主要包括電力與燃料使用、生產製程、原料採購、包裝使用與廢棄物處理。認識這些來源，有助於掌握排放熱點，進行有效改善與節能策略規劃。,動力與照明用電,機台運轉、照明與空調的耗能為製造廠基本的排放來源之一,製程與熱能使用,鍋爐、熱處理或高溫加工製程所需的燃氣或重油,原料與包材採購,原料、生產用包材等供應鏈碳排有時占比不低,廢棄物處理,生產過程產生的邊料、廢液與不可回收物也會產生排放,外包運輸與物流,原物料進出貨與成品配送所產生的交通排放,哪些排放能透過設備更新或流程調整減少？,FALSE,TRUE,看完說明即可繼續,碳排放來源辨識,能初步理解營運活動與碳排放的對應關係,"排放源, 製造流程, 初階診斷",,
C002,製造業,什麼是碳足跡？,排放源辨識與確認,multiple,beginner,排放熱點分析,理解碳足跡概念，並能識別企業流程中高碳區塊,碳足跡是指一項產品從原料、製造、使用到處理的生命週期所產生的總碳排放量。對製造業而言，從採購、生產、包裝、運輸到產品報廢，皆可納入碳足跡的計算範圍。,原料來源與製程,原物料碳含量、製程排放佔產品碳足跡比重高,能源與動力,用於生產線的電力與燃料影響單位產品的碳強度,包裝與外觀設計,使用過多包材或不易回收材料會增加碳足跡,物流與配送,成品配送至客戶過程的碳排也是足跡的一部分,客戶使用與處理階段,使用壽命與回收機制影響產品全生命週期的碳排,製造產品碳足跡如何做為改善依據？,FALSE,TRUE,看完說明即可繼續,碳足跡基礎概念,建立從產品與服務視角理解碳排放的能力,"碳足跡, 製程熱點, 生命周期分析",,
C003,製造業,為什麼製造業需要進行碳盤查？,報告需求與後續行動,multiple,beginner,碳盤查動機與導入評估,釐清企業盤查動機，作為診斷起點依據,製造業進行碳盤查有助於掌握能源使用情況、找出高排放區塊、優化流程並符合法規要求。隨著碳費與碳揭露趨勢明確，提早準備能提升競爭優勢與客戶信任。,降低生產成本,找出高耗能製程與低效率設備，有助節能降本,應對法規與查核,政府與供應鏈逐步要求 ESG 與碳盤查合規,吸引國際訂單,永續管理可增加國際品牌合作或出口資格,建立管理制度,協助部門分工與資料留存，提升減碳行動持續性,員工與顧客期望,年輕員工與顧客越來越重視綠色製造與環保承諾,哪些誘因對你的企業最重要？,FALSE,TRUE,看完說明即可繼續,ESG 行動動機辨識,建立企業導入碳管理的誘因理解能力,"ESG誘因, 製造成本, 符合法規",,
C004,製造業,製造業的碳盤查數據從哪裡來？,數據收集方式與能力,multiple,beginner,活動數據基礎盤點,檢視企業現階段掌握的數據類型與完整度,製造業的碳盤查資料通常來自電費帳單、燃料耗用紀錄、原料進貨、製程排放紀錄與廢棄物處理紀錄。掌握這些數據能幫助企業建立減碳基礎，提升管理精準度與透明度。,電費與燃料紀錄,生產線、鍋爐、空壓與空調系統等耗能資訊為主要排放依據,採購與庫存系統,原料、耗材、包材等採購資料與供應商來源,製程與操作紀錄,生產報表、產能計數與製程參數能反映單位排放量,廢棄物與副產品管理,工業廢料、污泥與可回收項目紀錄可協助完整估算排放,設備與監控系統,SCADA、能源監控、ERP 等系統可協助數據自動化,哪些數據可自動化蒐集？哪些還需人工填報？,FALSE,TRUE,看完說明即可繼續,數據來源與記錄盤點,提升企業盤查資料管理與組織能力,"製造數據, 資料記錄, 碳排監控系統",,
B001,製造業,公司規模如何？（員工數、廠區數量，單一/多點營運？）,邊界設定與組織資訊,single,beginner,組織現況分析,理解公司組織結構與規模對盤查邊界的影響,製造業的規模影響碳盤查範圍，小型工廠可使用簡化盤查方式，而大型或多廠區則需更嚴格的數據管理與統計標準。例如，小規模企業可聚焦主要排放源，而多廠區企業則需整合不同地點的數據，確保完整性與準確性。,1-10人,小型企業，可能僅需關注主要能源使用與少量排放源。,11-50人,中型企業，可能涉及更多排放源，需更精細的數據管理。,51-200人,大型企業，涉及更多廠區與供應鏈數據，管理與盤查複雜。,201-500人,大型製造業，需整合多廠區數據進行全面碳盤查與報告。,單一廠區,企業僅運營單一廠區，盤查範圍較小，數據較易收集。,是否為單一廠區、總部＋衛星廠、或跨國據點？,TRUE,TRUE,可列出員工總數與據點簡述,組織規模與盤查邊界設定,確認企業營運規模與工廠型態，有助釐清後續排放範圍定義,"員工規模, 廠區配置, 多點營運",,
B002,製造業,盤查範圍是整體工廠、特定產線或供應鏈？,邊界設定與組織資訊,multiple,beginner,邊界與盤查範圍,能掌握企業在碳盤查時已納入的營運範疇,盤查範圍決定數據收集的精確度。例如，若選擇單一產線，則僅需關注該生產流程的能源與材料消耗；若範圍擴展至整體工廠，則需涵蓋製造、設備運行、物流運輸、辦公室運營等多個環節，以全面掌握碳排放來源。,工廠整體運營,廠區所有活動均納入盤查，全面了解各方面排放源。,特定產線,只關注某條生產線的碳排放，範圍較小但精細。,供應鏈特定環節,僅關注供應鏈中的某些環節，如物流、原材料處理等。,不知道/不確定,若不確定，建議從整體工廠範圍開始，逐步擴展至更多環節。,,,是否涵蓋全廠房？是否聚焦特定產線、製程或 OEM 區段？,FALSE,TRUE,可說明預計盤查的起點與範圍,碳盤查範圍與製程分類,協助企業界定盤查優先順序與技術或數據可行性,"製程邊界, 產線選定, 製造碳盤查",,
B003,製造業,公司是否有特殊因素影響盤查邊界？（如轉投資、外包代工）,邊界設定與組織資訊,multiple,intermediate,邊界與合作關係界定,能辨識企業合作模式並思考其對碳盤查邊界的影響,供應鏈與外包製造影響範疇三（Scope 3）碳排放計算，企業應明確自身營運與供應鏈的責任邊界。例如，若原物料由供應商生產並運輸至工廠，這部分的碳排放應納入盤查，以確保碳盤查符合 ISO 14064 標準，並能正確量化企業的整體環境影響。,沒有特殊因素,企業運營相對簡單，無需額外考量供應鏈或外包影響。,有投資關聯企業,企業與投資關聯企業的營運可能會影響碳排放數據。,主要外包生產,外包製造使部分排放數據未納入盤查，需特別考量。,內外包混合,企業混合自營與外包生產，需統一整合內外部數據。,不知道/不確定,若不確定，應先梳理清楚供應鏈與外包的關聯，並評估其影響。,是否有境外代工、聯營廠、生產設備租賃等？,TRUE,TRUE,可說明目前是否難以取得相關數據,組織邊界例外與管理挑戰,評估盤查邊界是否受外包、投資結構或複雜控管模式影響,"外包製造, 邊界歸屬, 數據可得性",,
B004,製造業,是否有專職人員或團隊負責碳盤查？,邊界設定與組織資訊,single,beginner,永續推動角色與資源,確認企業是否具備基本的永續推動人力與責任配置,碳盤查數據需長期追蹤，若企業缺乏專職團隊，數據收集與管理可能不穩定，導致數據缺失或錯誤。建議企業指定專職負責人，或導入顧問輔導，以建立標準化的碳盤查流程與數據管理機制，確保可追溯性與合規性。,沒有專職人員,企業未設立專職碳管理人員，數據收集可能較不規範。,由環保/安衛部門兼職,環保部門或安全部門兼任碳盤查工作，但可能無法集中資源。,設有專職碳管理團隊,企業設有專職碳管理團隊，能高效處理數據收集與分析。,外部顧問協助,企業聘請外部顧問輔助碳盤查，但需進行長期合作以確保數據質量。,不知道/不確定,若不確定，建議先設立碳管理專職或尋求顧問協助。,是否由管理部門或設備單位主責？是否跨部門或顧問支援？,TRUE,TRUE,可說明是否設有正式職務或跨部門機制,ESG 責任歸屬與執行制度,釐清 ESG 在企業內部的制度配置與執行效率,"ESG負責人, 跨部門合作, 專責團隊",,
B005,製造業,是否已有溫室氣體管理政策？,邊界設定與組織資訊,single,intermediate,減碳政策制定現況,檢視企業是否具備明確政策與實質減碳規劃,碳管理政策是企業減排計畫的基礎，若無明確政策，則難以設定有效目標與行動。建議企業參考 ISO 14064 標準，制定具體的減碳政策與行動計畫，如 2025 年減排 10%、2030 年使用 50% 再生能源等，確保合規並提升企業競爭力。,沒有政策,企業尚未制定碳管理政策，難以實施有效的減碳行動。,初步擬定減排政策,企業已有減碳目標，需進一步詳細規劃行動計劃與策略。,內部已有完整溫室氣體管理政策,企業已設有完整的碳管理政策，並有清晰的減碳目標與策略。,符合國際標準（ISO 14064）,企業遵循 ISO 14064 等國際標準，確保碳管理政策合規性與標準化。,不知道/不確定,若不確定，建議參考 ISO 14064 標準來設立碳管理政策。,是否有政策文件、內部信件或永續聲明？是否公開？,FALSE,TRUE,可說明目前政策內容與發布形式,GHG 管理政策與內部承諾,確認企業是否有正式溫室氣體政策，支持報告或盤查推進,"ESG政策, 內部宣示, 碳排管理制度",,
